song_id,title,artist,som_x,som_y
Can_Bonomo_Tutmayın_Beni,Tutmayın Beni,Can Bonomo,20,2
Can_Bonomo_Oğlanlar_Kızlar,Oğlanlar Kızlar,Can Bonomo,5,17
Can_Bonomo_Sebebi_Var,Sebebi Var,Can Bonomo,8,1
Can_Bonomo_Abla,Abla,Can Bonomo,8,1
Can_Bonomo_Süper,Süper,Can Bonomo,20,2
Can_Bonomo_Hep_Bi'_Derdi_Olur,Hep Bi' Derdi Olur,Can Bonomo,5,17
Can_Bonomo_Vurulmuşum,Vurulmuşum,Can Bonomo,14,20
Can_Bonomo_Yaz_Gelsin,Yaz Gelsin,Can Bonomo,17,12
Can_Bonomo_Pes,Pes,Can Bonomo,17,12
Can_Bonomo_Gel_Beni_Kurtar,Gel Beni Kurtar,Can Bonomo,5,17
Can_Bonomo_Min-El_Aşk_ve_Min-El_Garaib,Min-El Aşk ve Min-El Garaib,Can Bonomo,5,17
Can_Bonomo_Maşrapa,Maşrapa,Can Bonomo,5,17
Can_Bonomo_Ben_Yağmurum,Ben Yağmurum,Can Bonomo,17,12
Can_Bonomo_Sakla,Sakla,Can Bonomo,8,1
Can_Bonomo_Bravo,Bravo,Can Bonomo,8,1
Can_Bonomo_Daha_Sıcak_Daha_Dumanlı,Daha Sıcak Daha Dumanlı,Can Bonomo,5,17
Can_Bonomo_Basması_Pembe,Basması Pembe,Can Bonomo,5,17
Can_Bonomo_Opıum,Opıum,Can Bonomo,20,2
Can_Bonomo_Son,Son,Can Bonomo,8,1
Can_Bonomo_Haberler_İyi_Paşam,Haberler İyi Paşam,Can Bonomo,8,1
Can_Bonomo_Namus_Belası,Namus Belası,Can Bonomo,5,17
Can_Bonomo_Ayıl,Ayıl,Can Bonomo,20,2
Can_Bonomo_Love_Me_Back_-_Karaoke,Love Me Back - Karaoke,Can Bonomo,1,6
Can_Bonomo_Balon,Balon,Can Bonomo,5,17
Can_Bonomo_Veysel,Veysel,Can Bonomo,1,6
Can_Bonomo_Breathe,Breathe,Can Bonomo,5,17
