song_id,title,artist,language,tempo,energy_rms,spectral_centroid,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,som_x,som_y,jitter_x,jitter_y
Lady_Gaga_Money_Honey,Money Honey,Lady Gaga,en,117.45383522727272,0.2101320624351501,2661.300902849578,-65.62126,72.56194,-10.13147,26.888567,2.7104065,8.396194,5.885132,2.5989718,2.0569844,9.423077,-3.3852842,4.2330985,-1.9859778,0.41250417,0.4756054,0.4358291,0.508025,0.4622259,0.42418015,0.44886172,0.43763703,0.44785133,0.38900706,0.41950738,0.40877303,1,5,1.3868778397910195,5.315111810177753
Lady_Gaga_Starstruck,Starstruck,Lady Gaga,en,103.359375,0.2141680866479873,2428.838383794148,-158.15248,68.77998,-3.754624,9.834161,4.695168,6.1766458,0.8528418,4.671595,-0.80052924,11.091474,1.2980126,8.045632,2.7992568,0.40950367,0.41600108,0.3777766,0.5028168,0.3540221,0.3546592,0.43482125,0.48425567,0.6717334,0.52009636,0.50104016,0.4076098,3,4,3.133880930440317,4.29261929788486
Lady_Gaga_Aura,Aura,Lady Gaga,en,129.19921875,0.0630880668759346,2335.2476502632185,-181.11421,94.691925,-0.40159848,8.061811,-0.87423015,4.934242,-4.34079,-1.2109275,-2.9267874,5.5384917,-3.02969,1.64362,-4.4074645,0.4858693,0.40868706,0.33828813,0.3420824,0.38041967,0.5681413,0.4704733,0.3464595,0.2688678,0.32777718,0.32118252,0.32507887,9,17,8.635077481997303,16.950727465887415
Lady_Gaga_Stupid_Love,Stupid Love,Lady Gaga,en,117.45383522727272,0.2601060569286346,2889.2284318786747,-40.220394,58.806126,-1.4887925,24.888424,3.9566216,10.780443,9.214268,11.809145,1.6838906,10.519111,-3.9516697,6.4281926,0.36339548,0.4759394,0.42420492,0.43686673,0.42264295,0.36623845,0.43788162,0.37765095,0.3739132,0.38164738,0.45773825,0.5736133,0.48018596,1,3,0.8612975245984069,2.9049146522343827
Lady_Gaga_Blade_Of_Grass,Blade Of Grass,Lady Gaga,en,54.978390957446805,0.1402108967304229,1930.8350706058595,-159.90741,112.566505,12.659667,14.1424465,5.8951654,10.504489,8.344859,0.3372999,-3.8460653,15.486222,-6.3405375,4.8496947,-1.9331439,0.24643345,0.31663367,0.20610806,0.26869884,0.22511162,0.14351195,0.2566898,0.26915923,0.5195133,0.40420118,0.33643082,0.2673206,16,9,16.098651547007247,9.346249611976205
Lady_Gaga_Fashion!,Fashion!,Lady Gaga,en,117.45383522727272,0.2079321146011352,2026.03384923235,-144.7893,72.11479,2.9393973,21.772238,10.84088,14.113487,5.3601713,9.908006,2.312141,12.564159,0.6436799,6.140396,3.8906178,0.6041451,0.5006072,0.48905265,0.48638487,0.41723448,0.37429944,0.35396332,0.44487694,0.45894012,0.4784545,0.49416447,0.51951057,4,3,3.645066622239392,3.17213178763075
Lady_Gaga_Teeth,Teeth,Lady Gaga,en,95.703125,0.1565420925617218,2482.620800538424,-87.22317,81.760956,-27.33664,37.95731,6.0164037,11.396146,0.9948447,12.130061,0.87479836,3.5291116,6.4723673,1.7520397,-5.086396,0.54855293,0.41971582,0.36790094,0.41665617,0.55263835,0.66038936,0.5432096,0.3941175,0.40740764,0.4941838,0.61553144,0.58489555,3,5,2.6191073530553144,5.34259627715046
Lady_Gaga_Replay,Replay,Lady Gaga,en,123.046875,0.0938153490424156,1683.213890811684,-212.12677,117.40383,-13.846853,6.7706046,13.329283,2.885896,1.3186592,4.9683375,-0.09233731,5.4159565,2.1940162,-2.9643824,-3.6772273,0.2898019,0.42777643,0.33363304,0.3961426,0.29240718,0.48086128,0.5870465,0.3913329,0.43673238,0.28008136,0.32563,0.21444383,8,4,7.960019391622242,4.237579823116651
Lady_Gaga_Dance_In_The_Dark,Dance In The Dark,Lady Gaga,en,123.046875,0.0667538568377494,3496.1829196963167,-136.03734,43.324245,3.6419654,35.566322,6.180859,10.568676,2.2889419,3.5537012,-0.64518714,10.6736765,-5.0228195,0.58041555,-5.147476,0.3698515,0.40155748,0.5377843,0.41249335,0.37451598,0.42126757,0.39222187,0.47182348,0.51732767,0.63495725,0.48164475,0.33643985,2,7,1.866152143754136,7.087437951433132
Lady_Gaga_Don't_Call_Tonight,Don't Call Tonight,Lady Gaga,en,99.38401442307692,0.2565539479255676,2557.279133832898,-48.168617,85.16171,-13.757377,19.013733,9.144415,12.473447,8.444545,5.1519094,1.8968523,8.877937,-2.2612734,3.95954,-3.6516392,0.53294337,0.39790854,0.44599247,0.37593734,0.40651426,0.3818327,0.37130117,0.4691971,0.32140142,0.33531272,0.33257848,0.4678952,6,5,5.950638886426533,4.692682221603012
Lady_Gaga_John_Wayne,John Wayne,Lady Gaga,en,95.703125,0.1917024999856948,2082.120461737735,-131.44305,89.90571,-17.68488,37.628433,2.9316595,6.4783416,6.403482,3.3358438,5.0045304,8.463847,-2.04501,3.7235942,-2.2425613,0.4737658,0.44836512,0.44965482,0.456547,0.4680482,0.4370008,0.42836878,0.38594306,0.46828812,0.48326337,0.48127273,0.54928565,0,6,-0.18984535209599587,5.8331845380632785
Lady_Gaga_Alice,Alice,Lady Gaga,en,123.046875,0.2349005043506622,2558.739722398529,-72.60624,81.5497,-9.79989,7.6598554,7.0476294,10.029472,12.233487,1.9657873,-2.5992846,11.55048,-3.0784245,0.26404414,3.493363,0.3632936,0.40855005,0.35187533,0.35971573,0.39064342,0.31271225,0.4353407,0.35541213,0.49474525,0.47968492,0.36754876,0.46589175,7,6,6.731774197554385,6.375073925678713
Lady_Gaga_Sexxx_Dreams,Sexxx Dreams,Lady Gaga,en,112.34714673913044,0.2624540030956268,2141.177515438813,-83.769516,90.518524,11.997775,35.663013,8.04168,16.191597,11.588808,11.166794,5.4707713,12.337505,1.8111689,4.013682,-3.0985868,0.5755633,0.41350558,0.38954327,0.43421313,0.46149084,0.4121014,0.39004415,0.50315076,0.46764687,0.418971,0.4043781,0.44552848,4,1,4.15131468558427,0.8555376789713636
Lady_Gaga_The_Beast,The Beast,Lady Gaga,en,103.359375,0.1092465966939926,2779.974960785007,-140.92192,82.879814,10.848088,3.4587874,-5.522321,-6.1168075,-9.51778,0.114377216,-2.926412,4.4537697,-9.097508,1.414436,-7.678469,0.3782034,0.28930482,0.3156471,0.28486088,0.48244086,0.35522592,0.23771566,0.32828936,0.33735296,0.44729128,0.27286297,0.3297742,21,0,21.01165689301424,-0.3253961041717034
Lady_Gaga_Kill_For_Love,Kill For Love,Lady Gaga,en,123.046875,0.2869886755943298,1996.417393930367,-46.890907,103.526184,3.2185407,35.383667,0.40443,13.960113,0.31621265,8.894227,1.3152446,10.316566,-2.0054102,6.1590605,-1.4244022,0.39672866,0.4307469,0.46255115,0.36888203,0.43149814,0.32299343,0.4368843,0.34644654,0.37429133,0.38919553,0.3626759,0.56769377,10,3,9.760123368999494,3.166042684735456
Lady_Gaga_Swine,Swine,Lady Gaga,en,129.19921875,0.2312159538269043,3270.575176558025,-45.92509,48.547306,-1.4833058,10.66157,2.894666,18.286825,10.200103,11.603383,2.6294067,8.366481,0.45448506,5.9549556,2.4391475,0.44661337,0.41703165,0.4207875,0.47123024,0.5271913,0.5568575,0.52460474,0.67158574,0.56018865,0.48553813,0.44361362,0.4579974,0,4,-0.14432845899200136,4.187203403634947
Lady_Gaga_You_And_I,You And I,Lady Gaga,en,63.02400914634146,0.1422337144613266,1930.9784258533768,-134.18427,116.62872,-23.743406,16.33973,2.7257605,-2.60317,2.0209923,-4.8552556,-6.58877,-1.2303337,-10.593162,-0.81447804,-5.779119,0.32428753,0.51338845,0.33714235,0.20296946,0.32236475,0.20166382,0.20830281,0.24504279,0.381462,0.5599874,0.3016096,0.36044642,11,10,11.07344632613066,9.828366176229721
