song_id,title,artist,language,tempo,energy_rms,spectral_centroid,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11
Gülşen_Tutuldu,Tutuldu,Gülşen,tr,151.99908088235293,0.0835212767124176,2004.8963442454276,-162.3246,100.996254,-22.669897,44.513855,-1.6334754,5.967928,-2.9608078,0.48132956,-12.948201,-6.21866,-14.671925,-2.2292745,-2.3601785,0.31943175,0.22291073,0.40084773,0.2718479,0.13919346,0.15109548,0.14259395,0.31802067,0.17632875,0.37371388,0.44050074,0.18962923
Gülşen_Son_Sözüm,Son Sözüm,Gülşen,tr,151.99908088235293,0.133037269115448,2087.920571494228,-124.99002,96.017136,12.23502,37.48025,6.694482,7.8961835,-0.44773963,7.932209,-1.9925572,2.309122,-1.311555,-1.3978755,-11.894732,0.4351134,0.23549107,0.31513852,0.3376406,0.20356748,0.36327863,0.30720356,0.5812729,0.42392644,0.19310804,0.17360508,0.2765486
Gülşen_Ayrılığın_Düğünü,Ayrılığın Düğünü,Gülşen,tr,151.99908088235293,0.1111693978309631,1423.9144959097937,-169.82089,136.93814,-0.0867234,12.477764,-4.0853624,-3.5429914,-5.2763352,-3.1077778,-23.738462,-4.768855,-3.3294935,-7.7338147,-2.9612396,0.30448264,0.2143792,0.39992872,0.27114072,0.52399814,0.28086963,0.12115176,0.2101947,0.1646219,0.32490388,0.3099993,0.21722762
Gülşen_Dünya_Yıkılsa,Dünya Yıkılsa,Gülşen,tr,107.666015625,0.1246818229556083,2226.9884932610803,-142.33891,92.169495,27.178896,18.737448,4.5242295,12.480651,-0.7083912,7.2095723,-1.2130815,5.007336,-1.3373959,3.4692268,0.5989675,0.6274902,0.37422767,0.32039535,0.3265748,0.29607752,0.35090426,0.338522,0.5221448,0.38579753,0.30521932,0.3770031,0.39091218
Gülşen_Anlayacaksın,Anlayacaksın,Gülşen,tr,135.99917763157896,0.2741041183471679,3437.9017910657585,-10.190585,42.93484,15.661816,32.332718,10.412365,26.322906,-3.2189746,5.251482,5.0824547,8.034475,7.4183927,4.807079,1.8241156,0.52914125,0.38191822,0.45552224,0.4260111,0.5549111,0.56156653,0.41255844,0.53981155,0.4415393,0.51211405,0.48753145,0.4971314
Gülşen_Su_Gibi_Geçerdi_Zaman,Su Gibi Geçerdi Zaman,Gülşen,tr,75.99954044117646,0.1004704907536506,2079.5696908204263,-147.71452,97.7118,13.533504,32.3574,6.1933866,13.34447,5.5735545,-1.4749318,-0.5403645,9.438345,-2.2454467,-2.203132,-0.6815059,0.5197521,0.31639645,0.22256441,0.2847722,0.19629359,0.30572125,0.29059267,0.6009766,0.4451138,0.28651604,0.39324275,0.3448974
Gülşen_Film,Film,Gülşen,tr,107.666015625,0.2270297557115554,2730.058406216965,-45.311443,72.21963,-5.216524,17.883614,3.3110733,11.123755,-0.83416116,7.3427687,0.24846259,6.53112,-0.85296357,3.4939215,-0.35312158,0.5329607,0.547493,0.56241894,0.5140363,0.5386424,0.5167446,0.6743527,0.5956146,0.603943,0.5817651,0.51596624,0.5490596
Gülşen_Sayenizde,Sayenizde,Gülşen,tr,184.5703125,0.1750481277704239,2282.6473933995035,-174.62848,93.22375,18.647144,31.11294,12.028166,-5.2753105,0.3310441,1.8396126,-18.142662,-8.8633175,-18.262094,-9.206548,-8.822227,0.32169873,0.2989024,0.34739918,0.25980246,0.29452726,0.22813787,0.38629213,0.28838694,0.18259145,0.1866526,0.25874957,0.45312524
Gülşen_Alnının_Yazısı,Alnının Yazısı,Gülşen,tr,129.19921875,0.1420010328292846,2422.059757087301,-173.73973,80.91605,6.0783653,24.403093,-1.1770723,9.707799,-5.154297,-2.4446042,-4.489264,5.3411026,-4.0641723,-2.147213,-3.3318136,0.50592273,0.34884223,0.37498206,0.35452104,0.48553452,0.34552798,0.49475843,0.5415999,0.43173337,0.5249942,0.41673955,0.588937
Gülşen_Kimselere_Güvenmiyorum,Kimselere Güvenmiyorum,Gülşen,tr,135.99917763157896,0.0876935943961143,2717.1323246059374,-190.16576,70.32229,21.455723,27.588383,4.034633,8.315337,-2.6800845,3.9241147,-1.1667869,6.812344,-2.1315384,0.33344263,-4.423751,0.27068505,0.38570422,0.3345703,0.542901,0.37268895,0.23521674,0.2507391,0.29881132,0.55208546,0.3030808,0.31191477,0.3246737
Gülşen_Küş_Tüyü,Küş Tüyü,Gülşen,tr,129.19921875,0.1151473075151443,1117.0434596408377,-201.03273,149.21458,0.36901692,19.67765,13.231127,8.312874,6.0593557,4.5299134,-3.504314,-2.3522398,-5.2044363,-2.0099435,-2.573992,0.42104167,0.23145226,0.29248935,0.23982948,0.16753884,0.23113456,0.1978775,0.3784034,0.4075255,0.25960994,0.35620156,0.29498157
Gülşen_Geç_Kalmışız,Geç Kalmışız,Gülşen,tr,143.5546875,0.1516274064779281,2007.083963342858,-174.36887,93.82916,-1.2604845,19.86849,-1.9131117,-5.858317,-11.088792,-3.444066,-13.701097,-0.09105047,-10.5928955,-4.6872053,-8.443307,0.21597959,0.17836224,0.2763432,0.19037734,0.34448454,0.26520565,0.08359308,0.081818275,0.13520728,0.35268876,0.26803562,0.16919509
Gülşen_Kutlu_Sen_Gülersen,Sen Gülersen,Gülşen Kutlu,tr,92.28515625,0.1674453616142273,2807.118773537825,-51.372158,63.73396,4.7126837,41.476643,-4.5578427,16.517323,6.907025,2.5815463,1.4025367,8.695335,-3.9018548,6.734939,-2.246786,0.3454592,0.3591184,0.30581224,0.3463079,0.41333938,0.65166616,0.571364,0.44192874,0.38765043,0.34940776,0.58777916,0.44353124
Gülşen_İlgilenmiyorum,İlgilenmiyorum,Gülşen,tr,129.19921875,0.1990481615066528,2447.3678853455976,-96.32629,93.79046,3.8634195,23.819668,14.867994,12.570533,6.0413537,12.970661,1.7697564,4.623785,1.5357543,2.7217622,0.522822,0.5216129,0.5464136,0.6811613,0.57860756,0.5586447,0.56042427,0.4494926,0.41604778,0.48168564,0.5877672,0.47975957,0.487587
Gülşen_Kutlu_Dal_Boylum,Dal Boylum,Gülşen Kutlu,tr,92.28515625,0.1697063148021698,2308.8507710174754,-82.7239,78.20668,-1.1088637,34.366486,-6.5040145,10.454045,3.4620347,7.5965314,6.630234,10.672331,1.4742461,4.3022327,-4.577855,0.22824647,0.14952613,0.19132005,0.22014396,0.19132432,0.30463302,0.284388,0.5908411,0.55686975,0.32952303,0.24064583,0.1782549
Gülşen_Kutlu_Şeker_Oğlan,Şeker Oğlan,Gülşen Kutlu,tr,135.99917763157896,0.1329917758703231,2552.4157060567886,-116.18907,80.944305,-1.0247742,21.140335,-10.998439,2.5553586,-10.463649,1.237979,-7.631925,-1.253657,-6.357886,-2.331629,-3.5784414,0.44579104,0.5136639,0.4248097,0.40378106,0.6056242,0.38629952,0.3534365,0.2727189,0.3691088,0.45944148,0.3728326,0.49531707
Gülsen_Bütün_Şalvarlı_Gelin,Şalvarlı Gelin,Gülsen Bütün,tr,103.359375,0.1521027833223343,1662.9851429066916,-162.17166,77.3218,4.090818,20.625484,-2.8240397,11.560355,-4.5151787,-1.3386574,5.23256,0.47956678,0.33426794,-1.3885789,-4.1396832,0.3017983,0.2613925,0.32026917,0.2428693,0.1479057,0.21346839,0.16982462,0.36183614,0.25336838,0.20952706,0.1659915,0.17217292
Gülsen_Bütün_Vicdansız,Vicdansız,Gülsen Bütün,tr,129.19921875,0.1136792302131652,2075.71763302719,-137.17033,102.21468,27.779322,6.651495,-13.202136,6.41452,-4.548939,-4.4565983,-4.5504465,-3.6765442,-8.26643,-5.909881,-11.385706,0.25401515,0.43266916,0.2971014,0.33254883,0.38303527,0.27963287,0.40156466,0.27561727,0.46551797,0.34919232,0.23764987,0.26678222
Gülşen_Yiğidim,Yiğidim,Gülşen,tr,143.5546875,0.0501166582107543,1548.2560378263497,-237.0163,132.49881,13.917373,4.773967,-2.6494954,3.235223,1.19453,8.373644,-3.2139375,0.97055745,-11.635219,-1.8912784,-3.0574934,0.43541238,0.3693005,0.2225555,0.25951025,0.26397017,0.46963987,0.3214448,0.24038284,0.41168937,0.27822232,0.43218946,0.24642552
Gülşen_Sen,Sen,Gülşen,tr,143.5546875,0.0266751088201999,1001.0557251085364,-373.9103,167.10007,-26.205963,37.14699,-5.022869,3.151323,0.5235025,-12.298921,-6.62879,-8.436315,-4.883205,2.0115952,-2.4832695,0.29715988,0.27915725,0.12349862,0.172745,0.18848217,0.45052877,0.46184963,0.18548751,0.18197307,0.10834757,0.21122313,0.12908687
Gülşen_Keserci_Bitlis_Barı,Bitlis Barı,Gülşen Keserci,tr,92.28515625,0.1468438357114792,2496.7947442788727,-89.52823,83.66691,5.5010037,25.291697,0.48793715,3.1591465,11.460553,7.079569,1.7619809,7.594289,-2.7652164,-4.1302347,-3.389659,0.20734236,0.20272881,0.31837115,0.29710534,0.3822436,0.4942228,0.4793403,0.5071355,0.2923216,0.34680712,0.275632,0.28140527
Gülşen_Keserci_Nargilemin_Dumanı,Nargilemin Dumanı,Gülşen Keserci,tr,95.703125,0.171264573931694,2322.649914653422,-98.6241,84.95155,18.93567,26.964687,-2.022456,13.25921,2.1392603,4.825742,-1.4606968,-2.569393,1.2546129,-1.2322845,-0.97566795,0.22888975,0.24471155,0.3954399,0.40388957,0.48886916,0.6612641,0.5909185,0.43509936,0.20254621,0.19681752,0.17997545,0.18689588
Gülşen_Sayenizde_2_-_Yeni,Sayenizde 2 - Yeni,Gülşen,tr,92.28515625,0.2008367925882339,1256.5602793364994,-160.0138,140.67226,5.597106,38.88822,4.5826664,5.9710255,-3.877777,-9.781025,-9.483378,-8.535372,-12.505956,0.9447462,3.1627443,0.17265707,0.30555156,0.5607733,0.21693914,0.25934744,0.20328666,0.37348852,0.2699281,0.13566896,0.1540459,0.17280486,0.30876634
Gülşen_İhtilaller,İhtilaller,Gülşen,tr,83.35433467741936,0.1508806943893432,1939.6628829841864,-135.22621,95.01203,8.402485,40.00782,3.4503644,5.4357514,-7.5564404,-2.192687,-5.600366,0.31952754,-4.8094316,4.6656814,-1.865866,0.52043915,0.37812772,0.23020232,0.24397556,0.24459665,0.40761507,0.23946998,0.24419479,0.3796361,0.21725342,0.2536482,0.2535292
Gülşen_Kurşun,Kurşun,Gülşen,tr,129.19921875,0.0562691166996955,1459.7617105336883,-230.15237,129.76755,-2.0449142,22.57305,0.92281294,2.4110112,-6.256107,-5.6205883,-12.580781,-5.6196566,-7.5905223,-4.2799993,-8.768886,0.27638912,0.32848302,0.16058098,0.19669612,0.20808758,0.47301263,0.44674963,0.33700132,0.4825113,0.20499127,0.2527552,0.1312675
Barış_Diri_Şimdi_Sen,Şimdi Sen,Barış Diri,tr,135.99917763157896,0.0824343785643577,1759.0840253398476,-209.06023,94.84595,7.737873,25.537756,4.315589,11.474961,10.163333,-2.2733045,-0.21022663,5.774161,-4.497382,-0.6962558,-5.732344,0.28085944,0.25338593,0.30750903,0.3765685,0.51040316,0.34378877,0.33721635,0.2923238,0.25549445,0.26348144,0.29660442,0.41580006
